Record_ID,Source_File,Doc_Type,Report_No,Client_Titular,Terrain_Block_Parcel,Parish_Municipality,Parcelario_No,Sample_Date,Received_Date,Result_Date,Matrix,Test_Category,Method,Organism_Parameter,Result,Value,Unit,Interpretation,Lab_Provider,Location_Confidence,Notes
44,INFORME_RESULTADOS_MOSTRA_240_Kiwi.pdf,"Relatório Laboratorial - Fitopatologia (CASO DE REFERÊNCIA, NÃO é Ganfei)",240/2023 (expediente 2023041497),Kiwi Atlántico S.A. (DIFFERENT CLIENT),B-3/C-3,"Lois-Portarís, Ribadumia, Pontevedra (Espanha) - NÃO é Ganfei/Valença",,2023-05-26,2023-05-26,2023-06-27,Raiz,Fitopatologia de oomicetas,Morfolóxica/Molecular,Oomicetes (general),NEGATIVO,,n/d,Ponto de dados de referência de um pomar de kiwi galego diferente - útil apenas para comparação,"Estación Fitopatolóxica Areeiro (Pontevedra, ES)","Localização confirmada, mas POMAR ERRADO - assinalar como referência/benchmark externo apenas, não faz parte do conjunto de dados de Ganfei",NÃO juntar às estatísticas do pomar de Ganfei - local/cliente diferente.
45,INFORME_RESULTADOS_MOSTRA_240_Kiwi.pdf,"Relatório Laboratorial - Fitopatologia (CASO DE REFERÊNCIA, NÃO é Ganfei)",240/2023 (expediente 2023041497),Kiwi Atlántico S.A. (DIFFERENT CLIENT),B-3/C-3,"Lois-Portarís, Ribadumia, Pontevedra (Espanha) - NÃO é Ganfei/Valença",,2023-05-26,2023-05-26,2023-06-27,Solo,Fitopatologia fúngica,Morfolóxica/Molecular,Armillaria sp.,NEGATIVO,,n/d,Ponto de dados de referência de um pomar de kiwi galego diferente - útil apenas para comparação,"Estación Fitopatolóxica Areeiro (Pontevedra, ES)","Localização confirmada, mas POMAR ERRADO - assinalar como referência/benchmark externo apenas, não faz parte do conjunto de dados de Ganfei",NÃO juntar às estatísticas do pomar de Ganfei - local/cliente diferente.
46,INFORME_RESULTADOS_MOSTRA_240_Kiwi.pdf,"Relatório Laboratorial - Fitopatologia (CASO DE REFERÊNCIA, NÃO é Ganfei)",240/2023 (expediente 2023041497),Kiwi Atlántico S.A. (DIFFERENT CLIENT),B-3/C-3,"Lois-Portarís, Ribadumia, Pontevedra (Espanha) - NÃO é Ganfei/Valença",,2023-05-26,2023-05-26,2023-06-27,Solo,Fitopatologia fúngica,Morfolóxica/Molecular,Rosellinia sp.,NEGATIVO,,n/d,Ponto de dados de referência de um pomar de kiwi galego diferente - útil apenas para comparação,"Estación Fitopatolóxica Areeiro (Pontevedra, ES)","Localização confirmada, mas POMAR ERRADO - assinalar como referência/benchmark externo apenas, não faz parte do conjunto de dados de Ganfei",NÃO juntar às estatísticas do pomar de Ganfei - local/cliente diferente.
47,INFORME_RESULTADOS_MOSTRA_240_Kiwi.pdf,"Relatório Laboratorial - Fitopatologia (CASO DE REFERÊNCIA, NÃO é Ganfei)",240/2023 (expediente 2023041497),Kiwi Atlántico S.A. (DIFFERENT CLIENT),B-3/C-3,"Lois-Portarís, Ribadumia, Pontevedra (Espanha) - NÃO é Ganfei/Valença",,2023-05-26,2023-05-26,2023-06-27,Solo,Fitopatologia de oomicetas,Morfolóxica/Molecular,Oomicetes (general),NEGATIVO,,n/d,Ponto de dados de referência de um pomar de kiwi galego diferente - útil apenas para comparação,"Estación Fitopatolóxica Areeiro (Pontevedra, ES)","Localização confirmada, mas POMAR ERRADO - assinalar como referência/benchmark externo apenas, não faz parte do conjunto de dados de Ganfei",NÃO juntar às estatísticas do pomar de Ganfei - local/cliente diferente.
48,INFORME_RESULTADOS_MOSTRA_240_Kiwi_1.pdf,"Relatório Laboratorial - Fitopatologia (CASO DE REFERÊNCIA, NÃO é Ganfei)",240/2023 (expediente 2023041497),Kiwi Atlántico S.A. (DIFFERENT CLIENT),B-3/C-3,"Lois-Portarís, Ribadumia, Pontevedra (Espanha) - NÃO é Ganfei/Valença",,2023-05-26,2023-05-26,2023-06-27,Raiz,Fitopatologia fúngica,Morfolóxica/Molecular,Dactylonectria sp.,POSITIVO,,n/d,Ponto de dados de referência de um pomar de kiwi galego diferente - útil apenas para comparação,"Estación Fitopatolóxica Areeiro (Pontevedra, ES)","Localização confirmada, mas POMAR ERRADO - assinalar como referência/benchmark externo apenas, não faz parte do conjunto de dados de Ganfei",NÃO juntar às estatísticas do pomar de Ganfei - local/cliente diferente.
49,INFORME_RESULTADOS_MOSTRA_240_Kiwi_1.pdf,"Relatório Laboratorial - Fitopatologia (CASO DE REFERÊNCIA, NÃO é Ganfei)",240/2023 (expediente 2023041497),Kiwi Atlántico S.A. (DIFFERENT CLIENT),B-3/C-3,"Lois-Portarís, Ribadumia, Pontevedra (Espanha) - NÃO é Ganfei/Valença",,2023-05-26,2023-05-26,2023-06-27,Raiz,Fitopatologia fúngica,Morfolóxica/Molecular,Fusarium sp.,POSITIVO,,n/d,Ponto de dados de referência de um pomar de kiwi galego diferente - útil apenas para comparação,"Estación Fitopatolóxica Areeiro (Pontevedra, ES)","Localização confirmada, mas POMAR ERRADO - assinalar como referência/benchmark externo apenas, não faz parte do conjunto de dados de Ganfei",NÃO juntar às estatísticas do pomar de Ganfei - local/cliente diferente.
50,INFORME_RESULTADOS_MOSTRA_240_Kiwi_1.pdf,"Relatório Laboratorial - Fitopatologia (CASO DE REFERÊNCIA, NÃO é Ganfei)",240/2023 (expediente 2023041497),Kiwi Atlántico S.A. (DIFFERENT CLIENT),B-3/C-3,"Lois-Portarís, Ribadumia, Pontevedra (Espanha) - NÃO é Ganfei/Valença",,2023-05-26,2023-05-26,2023-06-27,Raiz,Fitopatologia fúngica,Morfolóxica/Molecular,Ilyonectria liriodendri,POSITIVO,,n/d,Ponto de dados de referência de um pomar de kiwi galego diferente - útil apenas para comparação,"Estación Fitopatolóxica Areeiro (Pontevedra, ES)","Localização confirmada, mas POMAR ERRADO - assinalar como referência/benchmark externo apenas, não faz parte do conjunto de dados de Ganfei",NÃO juntar às estatísticas do pomar de Ganfei - local/cliente diferente.
51,INFORME_RESULTADOS_MOSTRA_240_Kiwi_1.pdf,"Relatório Laboratorial - Fitopatologia (CASO DE REFERÊNCIA, NÃO é Ganfei)",240/2023 (expediente 2023041497),Kiwi Atlántico S.A. (DIFFERENT CLIENT),B-3/C-3,"Lois-Portarís, Ribadumia, Pontevedra (Espanha) - NÃO é Ganfei/Valença",,2023-05-26,2023-05-26,2023-06-27,Raiz,Fitopatologia fúngica,Morfolóxica/Molecular,Rhizoctonia solani,POSITIVO,,n/d,Ponto de dados de referência de um pomar de kiwi galego diferente - útil apenas para comparação,"Estación Fitopatolóxica Areeiro (Pontevedra, ES)","Localização confirmada, mas POMAR ERRADO - assinalar como referência/benchmark externo apenas, não faz parte do conjunto de dados de Ganfei",NÃO juntar às estatísticas do pomar de Ganfei - local/cliente diferente.
52,INFORME_RESULTADOS_MOSTRA_240_Kiwi_1.pdf,"Relatório Laboratorial - Fitopatologia (CASO DE REFERÊNCIA, NÃO é Ganfei)",240/2023 (expediente 2023041497),Kiwi Atlántico S.A. (DIFFERENT CLIENT),B-3/C-3,"Lois-Portarís, Ribadumia, Pontevedra (Espanha) - NÃO é Ganfei/Valença",,2023-05-26,2023-05-26,2023-06-27,Raiz,Fitopatologia de oomicetas,Morfolóxica/Molecular,Oomicetes (general),NEGATIVO,,n/d,Ponto de dados de referência de um pomar de kiwi galego diferente - útil apenas para comparação,"Estación Fitopatolóxica Areeiro (Pontevedra, ES)","Localização confirmada, mas POMAR ERRADO - assinalar como referência/benchmark externo apenas, não faz parte do conjunto de dados de Ganfei",NÃO juntar às estatísticas do pomar de Ganfei - local/cliente diferente.
53,INFORME_RESULTADOS_MOSTRA_240_Kiwi_1.pdf,"Relatório Laboratorial - Fitopatologia (CASO DE REFERÊNCIA, NÃO é Ganfei)",240/2023 (expediente 2023041497),Kiwi Atlántico S.A. (DIFFERENT CLIENT),B-3/C-3,"Lois-Portarís, Ribadumia, Pontevedra (Espanha) - NÃO é Ganfei/Valença",,2023-05-26,2023-05-26,2023-06-27,Solo,Fitopatologia fúngica,Morfolóxica/Molecular,Armillaria sp.,NEGATIVO,,n/d,Ponto de dados de referência de um pomar de kiwi galego diferente - útil apenas para comparação,"Estación Fitopatolóxica Areeiro (Pontevedra, ES)","Localização confirmada, mas POMAR ERRADO - assinalar como referência/benchmark externo apenas, não faz parte do conjunto de dados de Ganfei",NÃO juntar às estatísticas do pomar de Ganfei - local/cliente diferente.
54,INFORME_RESULTADOS_MOSTRA_240_Kiwi_1.pdf,"Relatório Laboratorial - Fitopatologia (CASO DE REFERÊNCIA, NÃO é Ganfei)",240/2023 (expediente 2023041497),Kiwi Atlántico S.A. (DIFFERENT CLIENT),B-3/C-3,"Lois-Portarís, Ribadumia, Pontevedra (Espanha) - NÃO é Ganfei/Valença",,2023-05-26,2023-05-26,2023-06-27,Solo,Fitopatologia fúngica,Morfolóxica/Molecular,Rosellinia sp.,NEGATIVO,,n/d,Ponto de dados de referência de um pomar de kiwi galego diferente - útil apenas para comparação,"Estación Fitopatolóxica Areeiro (Pontevedra, ES)","Localização confirmada, mas POMAR ERRADO - assinalar como referência/benchmark externo apenas, não faz parte do conjunto de dados de Ganfei",NÃO juntar às estatísticas do pomar de Ganfei - local/cliente diferente.
55,INFORME_RESULTADOS_MOSTRA_240_Kiwi_1.pdf,"Relatório Laboratorial - Fitopatologia (CASO DE REFERÊNCIA, NÃO é Ganfei)",240/2023 (expediente 2023041497),Kiwi Atlántico S.A. (DIFFERENT CLIENT),B-3/C-3,"Lois-Portarís, Ribadumia, Pontevedra (Espanha) - NÃO é Ganfei/Valença",,2023-05-26,2023-05-26,2023-06-27,Solo,Fitopatologia de oomicetas,Morfolóxica/Molecular,Oomicetes (general),NEGATIVO,,n/d,Ponto de dados de referência de um pomar de kiwi galego diferente - útil apenas para comparação,"Estación Fitopatolóxica Areeiro (Pontevedra, ES)","Localização confirmada, mas POMAR ERRADO - assinalar como referência/benchmark externo apenas, não faz parte do conjunto de dados de Ganfei",NÃO juntar às estatísticas do pomar de Ganfei - local/cliente diferente.
56,ISFBV0314_ITS.pdf,Relatório Laboratorial - Metagenómica Fúngica do Solo (ITS),"n/d (código da amostra = prefixo do nome do ficheiro, ex.: ISFBV0314)",Not stated in extracted pages,NÃO ESPECIFICADO - alerta: não foi encontrado código de talhão/terreno nas páginas extraídas do relatório,"Not stated in extracted pages (orchard context = Ganfei, Valença, presumed)",,Not stated in extracted pages,,,Solo (comunidade fúngica edáfica),Metabarcoding ITS - diversidade alfa,Sequenciação de amplicões ITS + agrupamento em ASVs,Total reads / filtered reads / % qualified,Controlo de qualidade da sequenciação,85773 / 25078 / 29%,leituras,Profundidade e qualidade da sequenciação,Not identified in extracted pages,DESCONHECIDO - alerta: código da amostra não associado a nenhum talhão/parcela nos ficheiros revistos,
57,ISFBV0314_ITS.pdf,Relatório Laboratorial - Metagenómica Fúngica do Solo (ITS),"n/d (código da amostra = prefixo do nome do ficheiro, ex.: ISFBV0314)",Not stated in extracted pages,NÃO ESPECIFICADO - alerta: não foi encontrado código de talhão/terreno nas páginas extraídas do relatório,"Not stated in extracted pages (orchard context = Ganfei, Valença, presumed)",,Not stated in extracted pages,,,Solo (comunidade fúngica edáfica),Metabarcoding ITS - diversidade alfa,Sequenciação de amplicões ITS + agrupamento em ASVs,ASV richness,Métrica de diversidade,281,ASVs,Número de variantes únicas de sequência de amplicão fúngico,Not identified in extracted pages,DESCONHECIDO - alerta: código da amostra não associado a nenhum talhão/parcela nos ficheiros revistos,
58,ISFBV0314_ITS.pdf,Relatório Laboratorial - Metagenómica Fúngica do Solo (ITS),"n/d (código da amostra = prefixo do nome do ficheiro, ex.: ISFBV0314)",Not stated in extracted pages,NÃO ESPECIFICADO - alerta: não foi encontrado código de talhão/terreno nas páginas extraídas do relatório,"Not stated in extracted pages (orchard context = Ganfei, Valença, presumed)",,Not stated in extracted pages,,,Solo (comunidade fúngica edáfica),Metabarcoding ITS - diversidade alfa,Sequenciação de amplicões ITS + agrupamento em ASVs,Pielou evenness index,Métrica de diversidade,0.838,índice (0-1),Equitabilidade da comunidade,Not identified in extracted pages,DESCONHECIDO - alerta: código da amostra não associado a nenhum talhão/parcela nos ficheiros revistos,
59,ISFBV0314_ITS.pdf,Relatório Laboratorial - Metagenómica Fúngica do Solo (ITS),"n/d (código da amostra = prefixo do nome do ficheiro, ex.: ISFBV0314)",Not stated in extracted pages,NÃO ESPECIFICADO - alerta: não foi encontrado código de talhão/terreno nas páginas extraídas do relatório,"Not stated in extracted pages (orchard context = Ganfei, Valença, presumed)",,Not stated in extracted pages,,,Solo (comunidade fúngica edáfica),Metabarcoding ITS - diversidade alfa,Sequenciação de amplicões ITS + agrupamento em ASVs,Simpson index,Métrica de diversidade,0.9797,índice (0-1),Diversidade ponderada pela dominância,Not identified in extracted pages,DESCONHECIDO - alerta: código da amostra não associado a nenhum talhão/parcela nos ficheiros revistos,
60,ISFBV0314_ITS.pdf,Relatório Laboratorial - Metagenómica Fúngica do Solo (ITS),"n/d (código da amostra = prefixo do nome do ficheiro, ex.: ISFBV0314)",Not stated in extracted pages,NÃO ESPECIFICADO - alerta: não foi encontrado código de talhão/terreno nas páginas extraídas do relatório,"Not stated in extracted pages (orchard context = Ganfei, Valença, presumed)",,Not stated in extracted pages,,,Solo (comunidade fúngica edáfica),Metabarcoding ITS - diversidade alfa,Sequenciação de amplicões ITS + agrupamento em ASVs,Shannon index,Métrica de diversidade,6.82,índice,Diversidade combinada (riqueza + equitabilidade),Not identified in extracted pages,DESCONHECIDO - alerta: código da amostra não associado a nenhum talhão/parcela nos ficheiros revistos,ISFBV0314 = maior diversidade das 4 amostras; ISFBV0316 = menor.
61,ISFBV0315_ITS.pdf,Relatório Laboratorial - Metagenómica Fúngica do Solo (ITS),"n/d (código da amostra = prefixo do nome do ficheiro, ex.: ISFBV0314)",Not stated in extracted pages,NÃO ESPECIFICADO - alerta: não foi encontrado código de talhão/terreno nas páginas extraídas do relatório,"Not stated in extracted pages (orchard context = Ganfei, Valença, presumed)",,Not stated in extracted pages,,,Solo (comunidade fúngica edáfica),Metabarcoding ITS - diversidade alfa,Sequenciação de amplicões ITS + agrupamento em ASVs,Total reads / filtered reads / % qualified,Controlo de qualidade da sequenciação,251395 / 7119 / 3%,leituras,Profundidade e qualidade da sequenciação,Not identified in extracted pages,DESCONHECIDO - alerta: código da amostra não associado a nenhum talhão/parcela nos ficheiros revistos,
62,ISFBV0315_ITS.pdf,Relatório Laboratorial - Metagenómica Fúngica do Solo (ITS),"n/d (código da amostra = prefixo do nome do ficheiro, ex.: ISFBV0314)",Not stated in extracted pages,NÃO ESPECIFICADO - alerta: não foi encontrado código de talhão/terreno nas páginas extraídas do relatório,"Not stated in extracted pages (orchard context = Ganfei, Valença, presumed)",,Not stated in extracted pages,,,Solo (comunidade fúngica edáfica),Metabarcoding ITS - diversidade alfa,Sequenciação de amplicões ITS + agrupamento em ASVs,ASV richness,Métrica de diversidade,171,ASVs,Número de variantes únicas de sequência de amplicão fúngico,Not identified in extracted pages,DESCONHECIDO - alerta: código da amostra não associado a nenhum talhão/parcela nos ficheiros revistos,
63,ISFBV0315_ITS.pdf,Relatório Laboratorial - Metagenómica Fúngica do Solo (ITS),"n/d (código da amostra = prefixo do nome do ficheiro, ex.: ISFBV0314)",Not stated in extracted pages,NÃO ESPECIFICADO - alerta: não foi encontrado código de talhão/terreno nas páginas extraídas do relatório,"Not stated in extracted pages (orchard context = Ganfei, Valença, presumed)",,Not stated in extracted pages,,,Solo (comunidade fúngica edáfica),Metabarcoding ITS - diversidade alfa,Sequenciação de amplicões ITS + agrupamento em ASVs,Pielou evenness index,Métrica de diversidade,0.8431,índice (0-1),Equitabilidade da comunidade,Not identified in extracted pages,DESCONHECIDO - alerta: código da amostra não associado a nenhum talhão/parcela nos ficheiros revistos,
64,ISFBV0315_ITS.pdf,Relatório Laboratorial - Metagenómica Fúngica do Solo (ITS),"n/d (código da amostra = prefixo do nome do ficheiro, ex.: ISFBV0314)",Not stated in extracted pages,NÃO ESPECIFICADO - alerta: não foi encontrado código de talhão/terreno nas páginas extraídas do relatório,"Not stated in extracted pages (orchard context = Ganfei, Valença, presumed)",,Not stated in extracted pages,,,Solo (comunidade fúngica edáfica),Metabarcoding ITS - diversidade alfa,Sequenciação de amplicões ITS + agrupamento em ASVs,Simpson index,Métrica de diversidade,0.9767,índice (0-1),Diversidade ponderada pela dominância,Not identified in extracted pages,DESCONHECIDO - alerta: código da amostra não associado a nenhum talhão/parcela nos ficheiros revistos,
65,ISFBV0315_ITS.pdf,Relatório Laboratorial - Metagenómica Fúngica do Solo (ITS),"n/d (código da amostra = prefixo do nome do ficheiro, ex.: ISFBV0314)",Not stated in extracted pages,NÃO ESPECIFICADO - alerta: não foi encontrado código de talhão/terreno nas páginas extraídas do relatório,"Not stated in extracted pages (orchard context = Ganfei, Valença, presumed)",,Not stated in extracted pages,,,Solo (comunidade fúngica edáfica),Metabarcoding ITS - diversidade alfa,Sequenciação de amplicões ITS + agrupamento em ASVs,Shannon index,Métrica de diversidade,6.25,índice,Diversidade combinada (riqueza + equitabilidade),Not identified in extracted pages,DESCONHECIDO - alerta: código da amostra não associado a nenhum talhão/parcela nos ficheiros revistos,ISFBV0314 = maior diversidade das 4 amostras; ISFBV0316 = menor.
66,ISFBV0316_ITS.pdf,Relatório Laboratorial - Metagenómica Fúngica do Solo (ITS),"n/d (código da amostra = prefixo do nome do ficheiro, ex.: ISFBV0314)",Not stated in extracted pages,NÃO ESPECIFICADO - alerta: não foi encontrado código de talhão/terreno nas páginas extraídas do relatório,"Not stated in extracted pages (orchard context = Ganfei, Valença, presumed)",,Not stated in extracted pages,,,Solo (comunidade fúngica edáfica),Metabarcoding ITS - diversidade alfa,Sequenciação de amplicões ITS + agrupamento em ASVs,Total reads / filtered reads / % qualified,Controlo de qualidade da sequenciação,135516 / 4964 / 4%,leituras,Profundidade e qualidade da sequenciação,Not identified in extracted pages,DESCONHECIDO - alerta: código da amostra não associado a nenhum talhão/parcela nos ficheiros revistos,
67,ISFBV0316_ITS.pdf,Relatório Laboratorial - Metagenómica Fúngica do Solo (ITS),"n/d (código da amostra = prefixo do nome do ficheiro, ex.: ISFBV0314)",Not stated in extracted pages,NÃO ESPECIFICADO - alerta: não foi encontrado código de talhão/terreno nas páginas extraídas do relatório,"Not stated in extracted pages (orchard context = Ganfei, Valença, presumed)",,Not stated in extracted pages,,,Solo (comunidade fúngica edáfica),Metabarcoding ITS - diversidade alfa,Sequenciação de amplicões ITS + agrupamento em ASVs,ASV richness,Métrica de diversidade,129,ASVs,Número de variantes únicas de sequência de amplicão fúngico,Not identified in extracted pages,DESCONHECIDO - alerta: código da amostra não associado a nenhum talhão/parcela nos ficheiros revistos,
68,ISFBV0316_ITS.pdf,Relatório Laboratorial - Metagenómica Fúngica do Solo (ITS),"n/d (código da amostra = prefixo do nome do ficheiro, ex.: ISFBV0314)",Not stated in extracted pages,NÃO ESPECIFICADO - alerta: não foi encontrado código de talhão/terreno nas páginas extraídas do relatório,"Not stated in extracted pages (orchard context = Ganfei, Valença, presumed)",,Not stated in extracted pages,,,Solo (comunidade fúngica edáfica),Metabarcoding ITS - diversidade alfa,Sequenciação de amplicões ITS + agrupamento em ASVs,Pielou evenness index,Métrica de diversidade,0.7996,índice (0-1),Equitabilidade da comunidade,Not identified in extracted pages,DESCONHECIDO - alerta: código da amostra não associado a nenhum talhão/parcela nos ficheiros revistos,
69,ISFBV0316_ITS.pdf,Relatório Laboratorial - Metagenómica Fúngica do Solo (ITS),"n/d (código da amostra = prefixo do nome do ficheiro, ex.: ISFBV0314)",Not stated in extracted pages,NÃO ESPECIFICADO - alerta: não foi encontrado código de talhão/terreno nas páginas extraídas do relatório,"Not stated in extracted pages (orchard context = Ganfei, Valença, presumed)",,Not stated in extracted pages,,,Solo (comunidade fúngica edáfica),Metabarcoding ITS - diversidade alfa,Sequenciação de amplicões ITS + agrupamento em ASVs,Simpson index,Métrica de diversidade,0.9614,índice (0-1),Diversidade ponderada pela dominância,Not identified in extracted pages,DESCONHECIDO - alerta: código da amostra não associado a nenhum talhão/parcela nos ficheiros revistos,
70,ISFBV0316_ITS.pdf,Relatório Laboratorial - Metagenómica Fúngica do Solo (ITS),"n/d (código da amostra = prefixo do nome do ficheiro, ex.: ISFBV0314)",Not stated in extracted pages,NÃO ESPECIFICADO - alerta: não foi encontrado código de talhão/terreno nas páginas extraídas do relatório,"Not stated in extracted pages (orchard context = Ganfei, Valença, presumed)",,Not stated in extracted pages,,,Solo (comunidade fúngica edáfica),Metabarcoding ITS - diversidade alfa,Sequenciação de amplicões ITS + agrupamento em ASVs,Shannon index,Métrica de diversidade,5.61,índice,Diversidade combinada (riqueza + equitabilidade),Not identified in extracted pages,DESCONHECIDO - alerta: código da amostra não associado a nenhum talhão/parcela nos ficheiros revistos,ISFBV0314 = maior diversidade das 4 amostras; ISFBV0316 = menor.
71,ISFBV0317_ITS.pdf,Relatório Laboratorial - Metagenómica Fúngica do Solo (ITS),"n/d (código da amostra = prefixo do nome do ficheiro, ex.: ISFBV0314)",Not stated in extracted pages,NÃO ESPECIFICADO - alerta: não foi encontrado código de talhão/terreno nas páginas extraídas do relatório,"Not stated in extracted pages (orchard context = Ganfei, Valença, presumed)",,Not stated in extracted pages,,,Solo (comunidade fúngica edáfica),Metabarcoding ITS - diversidade alfa,Sequenciação de amplicões ITS + agrupamento em ASVs,Total reads / filtered reads / % qualified,Controlo de qualidade da sequenciação,110253 / 10688 / 10%,leituras,Profundidade e qualidade da sequenciação,Not identified in extracted pages,DESCONHECIDO - alerta: código da amostra não associado a nenhum talhão/parcela nos ficheiros revistos,
72,ISFBV0317_ITS.pdf,Relatório Laboratorial - Metagenómica Fúngica do Solo (ITS),"n/d (código da amostra = prefixo do nome do ficheiro, ex.: ISFBV0314)",Not stated in extracted pages,NÃO ESPECIFICADO - alerta: não foi encontrado código de talhão/terreno nas páginas extraídas do relatório,"Not stated in extracted pages (orchard context = Ganfei, Valença, presumed)",,Not stated in extracted pages,,,Solo (comunidade fúngica edáfica),Metabarcoding ITS - diversidade alfa,Sequenciação de amplicões ITS + agrupamento em ASVs,ASV richness,Métrica de diversidade,219,ASVs,Número de variantes únicas de sequência de amplicão fúngico,Not identified in extracted pages,DESCONHECIDO - alerta: código da amostra não associado a nenhum talhão/parcela nos ficheiros revistos,
73,ISFBV0317_ITS.pdf,Relatório Laboratorial - Metagenómica Fúngica do Solo (ITS),"n/d (código da amostra = prefixo do nome do ficheiro, ex.: ISFBV0314)",Not stated in extracted pages,NÃO ESPECIFICADO - alerta: não foi encontrado código de talhão/terreno nas páginas extraídas do relatório,"Not stated in extracted pages (orchard context = Ganfei, Valença, presumed)",,Not stated in extracted pages,,,Solo (comunidade fúngica edáfica),Metabarcoding ITS - diversidade alfa,Sequenciação de amplicões ITS + agrupamento em ASVs,Pielou evenness index,Métrica de diversidade,0.8472,índice (0-1),Equitabilidade da comunidade,Not identified in extracted pages,DESCONHECIDO - alerta: código da amostra não associado a nenhum talhão/parcela nos ficheiros revistos,
74,ISFBV0317_ITS.pdf,Relatório Laboratorial - Metagenómica Fúngica do Solo (ITS),"n/d (código da amostra = prefixo do nome do ficheiro, ex.: ISFBV0314)",Not stated in extracted pages,NÃO ESPECIFICADO - alerta: não foi encontrado código de talhão/terreno nas páginas extraídas do relatório,"Not stated in extracted pages (orchard context = Ganfei, Valença, presumed)",,Not stated in extracted pages,,,Solo (comunidade fúngica edáfica),Metabarcoding ITS - diversidade alfa,Sequenciação de amplicões ITS + agrupamento em ASVs,Simpson index,Métrica de diversidade,0.9771,índice (0-1),Diversidade ponderada pela dominância,Not identified in extracted pages,DESCONHECIDO - alerta: código da amostra não associado a nenhum talhão/parcela nos ficheiros revistos,
75,ISFBV0317_ITS.pdf,Relatório Laboratorial - Metagenómica Fúngica do Solo (ITS),"n/d (código da amostra = prefixo do nome do ficheiro, ex.: ISFBV0314)",Not stated in extracted pages,NÃO ESPECIFICADO - alerta: não foi encontrado código de talhão/terreno nas páginas extraídas do relatório,"Not stated in extracted pages (orchard context = Ganfei, Valença, presumed)",,Not stated in extracted pages,,,Solo (comunidade fúngica edáfica),Metabarcoding ITS - diversidade alfa,Sequenciação de amplicões ITS + agrupamento em ASVs,Shannon index,Métrica de diversidade,6.59,índice,Diversidade combinada (riqueza + equitabilidade),Not identified in extracted pages,DESCONHECIDO - alerta: código da amostra não associado a nenhum talhão/parcela nos ficheiros revistos,ISFBV0314 = maior diversidade das 4 amostras; ISFBV0316 = menor.
76,9_agosto2023_A32A0C_Kiwi_1_000_Valenc_a_do_Minho.pdf,Relatório da Plataforma Becrop - Microbioma do Solo (ITS3-16S),BC-R-Test-ITS3-16S4-BPP3.5-2023-08-25-A32A0C,Antonio Nogueira Amorim Matos,Code A32A0C - 'No hay parcela asociada' (system shows NO parcel linked to this code),"Cristelo Covo e Arão, Valença do Minho (morada indicada no relatório) - NOTA: freguesia diferente de 'Ganfei', usada na nota de campo e nos boletins A2",,2023-08-25,,2023-08-25,Solo (microbioma),Microbioma - contagem de espécies,,Total species detected,Contagem,856,espécies,Amplitude de taxa microbianos detetados,Becrop platform (ITS3/16S microbiome test),NÃO RESOLVIDO - alerta: o próprio relatório indica 'No hay parcela asociada' (sem parcela associada) E a freguesia difere de 'Ganfei' usada nos restantes documentos; é necessário confirmar se se trata do mesmo pomar.,
77,9_agosto2023_A32A0C_Kiwi_1_000_Valenc_a_do_Minho.pdf,Relatório da Plataforma Becrop - Microbioma do Solo (ITS3-16S),BC-R-Test-ITS3-16S4-BPP3.5-2023-08-25-A32A0C,Antonio Nogueira Amorim Matos,Code A32A0C - 'No hay parcela asociada' (system shows NO parcel linked to this code),"Cristelo Covo e Arão, Valença do Minho (morada indicada no relatório) - NOTA: freguesia diferente de 'Ganfei', usada na nota de campo e nos boletins A2",,2023-08-25,,2023-08-25,Solo (microbioma),Índice de qualidade do solo,,Biosostenibilidad,MEDIO (score 41),,n/d,Pontuação composta de sustentabilidade do solo (Becrop),Becrop platform (ITS3/16S microbiome test),NÃO RESOLVIDO - alerta: o próprio relatório indica 'No hay parcela asociada' (sem parcela associada) E a freguesia difere de 'Ganfei' usada nos restantes documentos; é necessário confirmar se se trata do mesmo pomar.,
78,9_agosto2023_A32A0C_Kiwi_1_000_Valenc_a_do_Minho.pdf,Relatório da Plataforma Becrop - Microbioma do Solo (ITS3-16S),BC-R-Test-ITS3-16S4-BPP3.5-2023-08-25-A32A0C,Antonio Nogueira Amorim Matos,Code A32A0C - 'No hay parcela asociada' (system shows NO parcel linked to this code),"Cristelo Covo e Arão, Valença do Minho (morada indicada no relatório) - NOTA: freguesia diferente de 'Ganfei', usada na nota de campo e nos boletins A2",,2023-08-25,,2023-08-25,Solo (microbioma),Índice de qualidade do solo,,Biodiversidad / Funcionalidad / Resiliencia,Muy alto / Muy alto / Medio,,n/d,Índices compostos (Becrop),Becrop platform (ITS3/16S microbiome test),NÃO RESOLVIDO - alerta: o próprio relatório indica 'No hay parcela asociada' (sem parcela associada) E a freguesia difere de 'Ganfei' usada nos restantes documentos; é necessário confirmar se se trata do mesmo pomar.,
